iter	Passed	Remaining
0	134	134538
1	136	67954
2	137	45766
3	139	34717
4	141	28066
5	142	23632
6	144	20438
7	145	18045
8	147	16206
9	148	14744
10	150	13521
11	151	12488
12	152	11609
13	154	10852
14	155	10201
15	156	9614
16	157	9087
17	157	8606
18	158	8174
19	158	7785
20	159	7432
21	159	7112
22	160	6817
23	161	6548
24	161	6301
25	162	6073
26	162	5863
27	163	5668
28	163	5485
29	164	5317
30	165	5160
31	165	5011
32	166	4872
33	166	4740
34	167	4614
35	167	4495
36	168	4382
37	168	4276
38	169	4175
39	169	4078
40	170	3986
41	170	3899
42	171	3816
43	171	3737
44	172	3661
45	173	3588
46	173	3519
47	174	3453
48	174	3388
49	175	3329
50	175	3270
51	176	3214
52	176	3161
53	177	3108
54	178	3064
55	178	3016
56	179	2969
57	180	2924
58	180	2880
59	181	2838
60	181	2798
61	182	2760
62	183	2722
63	183	2687
64	184	2652
65	185	2618
66	185	2585
67	186	2552
68	186	2520
69	187	2490
70	188	2460
71	188	2431
72	189	2403
73	189	2376
74	190	2350
75	191	2326
76	192	2301
77	192	2278
78	193	2255
79	194	2233
80	194	2211
81	195	2189
82	195	2164
83	196	2144
84	197	2124
85	198	2104
86	198	2084
87	199	2065
88	199	2046
89	200	2027
90	201	2008
91	201	1992
92	202	1975
93	203	1957
94	203	1942
95	204	1926
96	205	1910
97	205	1895
98	206	1879
99	207	1864
100	207	1849
101	208	1835
102	209	1820
103	209	1806
104	210	1792
105	210	1778
106	211	1765
107	212	1753
108	212	1740
109	213	1727
110	214	1716
111	214	1704
112	215	1692
113	216	1680
114	216	1669
115	217	1657
116	218	1645
117	218	1635
118	219	1624
119	220	1614
120	220	1604
121	221	1593
122	222	1583
123	222	1573
124	223	1562
125	223	1553
126	224	1542
127	224	1532
128	225	1523
129	226	1513
130	226	1504
131	227	1495
132	228	1487
133	228	1478
134	229	1469
135	230	1461
136	230	1452
137	231	1444
138	231	1436
139	232	1428
140	233	1420
141	233	1411
142	234	1403
143	234	1395
144	235	1388
145	236	1381
146	236	1375
147	237	1367
148	238	1360
149	238	1353
150	239	1346
151	240	1340
152	241	1335
153	241	1328
154	242	1321
155	242	1314
156	243	1308
157	244	1301
158	244	1295
159	245	1289
160	245	1281
161	246	1275
162	247	1268
163	247	1262
164	248	1256
165	248	1250
166	249	1244
167	250	1238
168	250	1232
169	251	1226
170	251	1220
171	252	1215
172	253	1209
173	253	1204
174	254	1198
175	254	1193
176	255	1187
177	256	1182
178	256	1177
179	257	1172
180	257	1166
181	258	1161
182	258	1156
183	259	1150
184	260	1145
185	260	1140
186	261	1136
187	261	1130
188	262	1126
189	263	1121
190	263	1116
191	264	1112
192	264	1107
193	265	1103
194	266	1098
195	266	1094
196	267	1089
197	267	1084
198	268	1080
199	268	1075
200	269	1071
201	270	1067
202	270	1063
203	271	1058
204	271	1054
205	272	1050
206	273	1046
207	273	1042
208	274	1038
209	274	1034
210	275	1030
211	276	1026
212	276	1022
213	277	1018
214	277	1014
215	278	1010
216	278	1006
217	279	1002
218	280	998
219	280	995
220	281	992
221	282	988
222	282	985
223	283	981
224	283	978
225	284	974
226	285	970
227	285	967
228	286	963
229	286	960
230	287	956
231	288	953
232	288	950
233	289	946
234	289	943
235	290	940
236	291	937
237	291	933
238	292	930
239	292	927
240	293	924
241	294	920
242	294	917
243	295	914
244	295	911
245	296	908
246	296	905
247	297	902
248	298	898
249	298	896
250	299	893
251	299	890
252	300	887
253	301	884
254	301	881
255	302	878
256	302	875
257	303	873
258	304	870
259	304	867
260	305	864
261	305	861
262	306	859
263	307	856
264	307	853
265	308	851
266	309	848
267	309	845
268	310	842
269	310	840
270	311	837
271	311	834
272	312	832
273	313	829
274	313	826
275	314	824
276	314	821
277	315	818
278	315	816
279	316	813
280	317	811
281	317	809
282	318	807
283	319	805
284	320	803
285	320	800
286	321	798
287	322	796
288	322	794
289	324	794
290	325	792
291	326	791
292	327	790
293	329	790
294	329	788
295	331	787
296	332	786
297	333	784
298	333	782
299	334	780
300	335	778
301	336	776
302	336	774
303	337	772
304	338	770
305	338	768
306	339	766
307	340	764
308	340	762
309	341	760
310	342	758
311	342	756
312	343	754
313	344	752
314	345	751
315	346	749
316	347	749
317	348	747
318	349	746
319	350	744
320	351	742
321	351	740
